Date	time	ms	output	display	units	precision
7/3/2014	9:05:34 AM	7631	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:34 AM	7716	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:34 AM	7805	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:34 AM	7881	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:34 AM	7956	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:34 AM	8042	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8131	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:35 AM	8215	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8303	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8392	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8480	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:35 AM	8565	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8654	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8742	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	8826	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:35 AM	8914	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:35 AM	9001	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:36 AM	9085	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:36 AM	9173	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9262	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9345	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:36 AM	9434	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9522	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9610	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9695	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9770	-0.030000	-0.030000	%	3.000000
